Country,1990,1995,2000,2005,2010,2015,2019,Pop1990,Pop1995,Pop2000,Pop2005,Pop2010,Pop2015,Pop2019,PopCountry
Channel Islands,61660,60519,64301,70941,77581,82307,83833,141,143,148,152,160,165,172,Channel Islands
Denmark,235189,303108,371026,440383,500772,595876,722878,5141,5233,5341,5422,5555,5689,5772,Denmark
Estonia,381997,315755,249512,233701,217890,194664,190242,1565,1433,1399,1356,1332,1315,1326,Estonia
Faroe Islands,4285,2900,3593,4583,5096,5485,6454,47,46,47,48,48,48,49,Faroe Islands
Finland,63255,99729,136203,192169,228481,314856,383116,4996,5119,5188,5259,5366,5481,5532,Finland
Iceland,9584,12738,15892,25492,35091,39072,52404,255,268,280,295,320,330,339,Iceland
Ireland,227961,226892,350552,589046,730542,759256,833564,3511,3592,3783,4141,4554,4652,4882,Ireland
Isle of Man,34769,36886,39002,41475,43447,42238,42864,70,72,77,80,85,83,85,Isle of Man
Latvia,646007,538093,430178,376725,313786,265418,237266,2664,2508,2384,2252,2119,1998,1907,Latvia
Lithuania,349258,273587,214311,201209,160772,136021,117218,3696,3627,3502,3344,3124,2932,2760,Lithuania
Norway,192587,233302,292440,361144,526799,746375,867765,4247,4367,4499,4632,4886,5200,5379,Norway
Sweden,788767,936022,1003798,1125790,1384929,1676264,2005210,8567,8836,8882,9039,9390,9765,10036,Sweden
United Kingdom,3650286,4155293,4730165,5926156,7119664,8411569,9552110,57134,57932,58923,60288,63460,65860,67530,United Kingdom
Albania,66013,71354,76695,64739,52784,52031,49160,3286,3113,3129,3087,2948,2891,2881,Albania
Andorra,38891,44206,42147,50298,52053,42264,45102,55,64,65,79,84,78,77,Andorra
Bosnia and Herzegovina,56000,69476,82952,47272,38792,38574,35735,4463,3829,3751,3765,3705,3429,3301,Bosnia and Herzegovina
Croatia,475438,674085,585298,579273,573248,561093,518083,4776,4617,4428,4378,4328,4233,4130,Croatia
Gibraltar,8709,8381,8054,9211,10369,11065,11172,29,29,31,33,34,34,34,Gibraltar
Greece,618139,857850,1111665,1190707,1321149,1242924,1211382,10226,10746,11082,11225,10888,10660,10473,Greece
Holy See,768,780,785,798,794,803,799,1,1,1,1,1,1,1,Holy See
Italy,1428219,1774954,2121688,3954790,5787893,5805328,6273722,57048,57174,56692,58281,59325,60578,60550,Italy
Malta,15077,17740,21521,24560,33008,52642,84949,362,377,394,405,414,434,440,Malta
Montenegro,,,,,78512,71719,70967,615,620,614,616,624,627,628,Montenegro
North Macedonia,95142,109343,125665,127667,129701,130730,131175,1996,1983,2035,2060,2071,2079,2083,North Macedonia
Portugal,435782,532822,651472,771184,762825,864814,888162,9895,10091,10297,10508,10596,10368,10226,Portugal
San Marino,3310,3659,4045,4218,4880,5195,5507,24,26,27,29,31,33,34,San Marino
Serbia,99269,870980,977873,854848,826275,807441,820312,9518,9884,9488,9194,8991,8877,8772,Serbia
Slovenia,178077,174419,214508,217218,253786,237616,253122,2006,1991,1988,1995,2043,2071,2079,Slovenia
Spain,821605,1020067,1657285,4107226,6280065,5891208,6104203,39203,39787,40825,44019,46931,46672,46737,Spain
Austria,793239,894893,996547,1136270,1275992,1492374,1779857,7724,7990,8069,8254,8410,8679,8955,Austria
Belgium,1280583,1288003,1268368,1248733,1503806,1783488,1981919,10007,10186,10282,10547,10939,11288,11539,Belgium
France,5897267,6087993,6278718,6737600,7309986,7874172,8334875,56667,57802,59015,61120,62880,64453,65130,France
Germany,5936181,7464406,8992631,9402447,9812263,10220418,13132146,79054,81139,81401,81603,80827,81787,83517,Germany
Liechtenstein,10906,13311,15483,18898,22342,23799,25467,29,31,33,35,36,37,38,Liechtenstein
Luxembourg,113795,126106,139750,150618,163142,248888,291723,382,408,436,458,508,567,616,Luxembourg
Monaco,20359,21060,21787,21312,21132,25983,26511,29,31,32,34,36,38,39,Monaco
Netherlands,1182263,1346164,1556337,1736127,1832510,1996318,2282791,14965,15468,15926,16367,16683,16938,17097,Netherlands
Switzerland,1392282,1478829,1570756,1805437,2075182,2416394,2572029,6653,6996,7144,7387,7809,8297,8591,Switzerland
Bermuda,15683,16676,17668,18276,18884,19126,19336,62,63,65,66,65,64,63,Bermuda
Canada,4333318,4864778,5511914,6078985,6761226,7428657,7960657,27541,29164,30588,32164,34148,36027,37411,Canada
Greenland,9282,7121,6601,6556,6091,5797,5690,56,56,56,57,57,56,57,Greenland
Saint Pierre and Miquelon,1099,1320,1458,1147,1017,986,990,6,6,6,6,6,6,6,Saint Pierre and Miquelon
United States of America,23251026,28451053,34814053,39258293,44183643,48178877,50661149,252120,265164,281711,294994,309011,320878,329065,United States of America
